"","company_name","total"
"19657","Silver Spring Networks",35829
"19688","Simple Energy",56697
"19696","SimpleGeo",39276
"19717","SimpliVity",35817
"19722","SimplyInsured",47720
"19728","Simulmedia",71172
"19742","Singly",36841
"19746","Singulex",45395
"19752","SinoHub",36553
"19769","Sirigen",52716
"19799","Sittercity",62082
"19830","Skillshare",56293
"19858","Skybox Imaging",34900
"19859","Skybox Security",58284
"19869","Skyfire Labs",43587
"19875","Skyhook Wireless",37744
"19882","Skyonic",49368
"19893","Skyscraper",51039
"19897","Skytap",49653
"19904","Slacker",39910
"19914","Slice",43950
"19976","SmartDrive Systems",36835
"19991","Smartling",40439
"20005","SmartThings",59771
"20039","snagajob.com",35917
"20040","SnagFilms",40100
"20049","Snapdeal",42545
"20105","SOASTA",41527
"20146","SocialFlow",36248
"20168","Socialtext",36593
"20219","Sojern",39716
"20239","SolarCity",59366
"20240","SolarEdge",47085
"20241","Solarflare Communications",39716
"20242","Solaria",44958
"20263","Solexant",60997
"20264","Solexel",36754
"20265","SolFocus",55988
"20275","Soligenix",39592
"20282","SoloPower",71826
"20287","Solstice Neurosciences",44723
"20327","Songza",43130
"20328","Sonian",46008
"20345","Soonr",50170
"20381","Soundwave",41892
"20422","SpaceClaim",41830
"20432","Spanfeller Media Group",41970
"20485","Spectrum Bridge",39197
"20493","Speek",55166
"20506","Spiceworks",49042
"20516","Spinal Modulation",56106
"20605","Spot Runner",51821
"20685","SquareHub",70896
"20690","SquareTrade",55153
"20705","SST Inc. (Formerly ShotSpotter)",94879
"20710","Staccato Communications",37931
"20711","Stack Exchange",44080
"20809","SteelHouse",46123
"20851","Stipple",68396
"20865","StockTwits",46216
"20866","Stoke",41370
"20929","Streamezzo",47920
"20954","Stripe",43448
"20964","StrongView",41722
"21020","StyleSeat",53616
"21021","StyleSeek",42987
"21054","Sulia",34673
"21077","SundaySky",37101
"21082","SunEdison",43797
"21104","Sunrun",40667
"21135","SuperSonic Imagine",48381
"21157","Surf Air",41719
"21170","Surphace",40286
"21194","Sutro Biopharma",48004
"21247","Swipely",67078
"21273","Sylantro",47678
"21287","Symphogen",34517
"21289","Symphony Commerce (formerly Sneakpeeq)",36348
"21306","SynapSense",70679
"21322","SyncroCloud",37076
"21325","Syndax Pharmaceuticals",34963
"21343","Synosia Therapeutics",48357
"21373","T2 Biosystems",78113
"21435","Taigen",40080
"21450","TakeLessons",75404
"21461","Talend",44001
"21582","TaskRabbit",61049
"21595","Tatara Systems",36758
"21640","TeamSnap",41193
"21682","Teknovus",64866
"21730","Telly",37624
"21742","Tempo Payments",36951
"21743","TempoDB",34937
"21756","Teneros",38402
"21758","Tengion",66486
"21777","Teranetics",44036
"21805","Tesla Motors",114944
"21842","Texxi",55936
"21873","The Climate Corporation",91302
"21896","The FeedRoom",106030
"21919","The Hunt",38647
"21965","The Orange Chef",39616
"21975","The Resumator",37919
"22023","Theraclone Sciences",49340
"22083","Thinkfuse",36638
"22096","ThirdLove",69066
"22143","Thumbplay",36974
"22206","Tilera",43530
"22320","Tonara",38154
"22408","ToutApp",45519
"22412","Tower Cloud",53191
"22441","Tracked.com",67760
"22452","TradeBeam",41808
"22499","TranscribeMe",41880
"22520","TransMedics",72632
"22528","Transpera",50409
"22570","Treehouse",45958
"22576","TrekkSoft",59844
"22582","Tremor Video",49276
"22603","TRIA Beauty",64008
"22609","TrialPay",54612
"22648","Trion Worlds",54956
"22660","TripleLift",39369
"22685","TriVascular",111344
"22722","TRUECar",35789
"22794","Tumblr",86737
"22818","Turn",62536
"22821","turntable.fm",45270
"22852","TweetDeck",43904
"22859","Twelvefold Media",42333
"22865","Twice",56412
"22867","Twilio",43020
"22882","Twitter",86005
"22935","uBeam",39296
"22936","Uber",37498
"22945","Ubicom",40085
"22952","Ubiquisys",68889
"22998","Ultragenyx Pharmaceutical",39233
"23076","Unitrends Software",40053
"23083","Univa UD",52260
"23179","URX",83669
"23197","UserVoice",34939
"23213","uTest",49429
"23244","Vadio",47720
"23261","Validity Sensors",39289
"23264","Valkee",36828
"23296","Vantrix",39909
"23339","VaxInnate",40114
"23358","Veduca",34792
"23365","Veenome",36513
"23423","Veoh",44813
"23427","Veracode",52319
